TYPE,ZONE,NEIGHBORHOOD,STREET,PRICE,IPTU,MONTHLYCONDOFEE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BATHROOMS,BEDROOMS,TOTAL_AMENITIES,POOL,FURNISHED,BARBECUE_GRILL,BALCONY,AIR_CONDITIONING,PARTY_HALL,BUILTIN_WARDROBE,KITCHEN_CABINETS,KITCHEN,INTERCOM,DINNER_ROOM,CABLE_TV,GARAGE,PLAYGROUND,GOURMET_BALCONY,NUMBER_OF_FLOORS,ADULT_GAME_ROOM,SEA_VIEW,ELEVATOR,PETS_ALLOWED,HOME_OFFICE,BICYCLES_PLACE,CONCIERGE_24H,INTERNET_ACCESS,MOUNTAIN_VIEW,ARMORED_SECURITY_CABIN,SERVICE_AREA,LARGE_KITCHEN,LARGE_WINDOW,DISABLED_ACCESS,ELECTRONIC_GATE,SAFETY_CIRCUIT,SAUNA,GATED_COMMUNITY,CLOSET,AMERICAN_KITCHEN,GAMES_ROOM,GYM,GOURMET_SPACE,GARDEN,LAUNDRY,CINEMA,SLAB,SOUNDPROOFING,DEPOSIT,HEATING,WATCHMAN,PLATED_GAS,LARGE_ROOM,FULL_FLOOR,BLINDEX_BOX,LAVABO,WOOD_FLOOR,PANORAMIC_VIEW,SPORTS_COURT,ALARM_SYSTEM,RECREATION_AREA,BEDROOM_WARDROBE,BATHROOM_CABINETS,GAS_SHOWER,SERVICE_ENTRANCE,ENTRANCE_HALL,ALUMINUM_WINDOW,TENNIS_COURT,COWORKING,HEATED_POOL,COVERED_POOL,CHILDRENS_POOL,GREEN_SPACE,GUEST_PARKING,MASSAGE,MEETING_ROOM,FOOTBALL_FIELD,INTEGRATED_ENVIRONMENTS,HIKING_TRAIL,SECURITY_CAMERA,SPA,PET_SPACE,POOL_BAR,LIBRARY,ZEN_SPACE,PATROL,LUNCH_ROOM,SKATE_LANE,RESTAURANT,ADULT_POOL,PORCELAIN,COVENTION_HALL,TOYS_PLACE,TEEN_SPACE,WHIRLPOOL,FITNESS_ROOM,INDOOR_SOCCER,SERVICE_BATHROOM,BATHTUB,EMPLOYEE_DEPENDENCY,SECURITY_24_HOURS,EXTERIOR_VIEW,PAY_PER_USE_SERVICES,SOLARIUM,SERVICE_ROOM,NATURAL_VENTILATION,WALL_BALCONY,SANCA,RECEPTION,GRASS,HIGH_CEILING_HEIGHT,SIDE_ENTRANCE,HOME_CINEMA,LAKE_VIEW,BAR,PLANNED_FURNITURE,PANTRY,SMALL_ROOM,DRESS_ROOM2,COLD_FLOOR,REVERSIBLE_ROOM,COPA,COOKER,WATER_TANK,DIVIDERS,FREEZER,SQUARE,ESSENTIAL_PUBLIC_SERVICES,MASSAGE_ROOM,FULL_CABLING,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,SEMI_OLYMPIC_POOL,CARETAKER,PAVED_STREET,DIGITAL_LOCKER,TREE_CLIMBING,SECURITY_CABIN,DECK,CHILDREN_CARE,HALF_FLOOR,BACKYARD,BARBECUE_BALCONY,GOURMET_KITCHEN,HELIPAD,SQUASH,PRIVATE_POOL,STAIR,FRUIT_TREES,GARAGE_BAND,WELL,ARTESIAN_WELL,LAMINATED_FLOOR,GLASS_WALL,CORNER_PROPERTY,FIREPLACE,THERMAL_INSULATION,COFFEE_SHOP,PIZZA_OVEN,WALLS_GRIDS,GEMINADA,ELECTRIC_GENERATOR,PARKING,NEAR_SHOPPING_CENTER_2,COVERAGE,ADMINISTRATION,VINYL_FLOOR,SAND_PIT,BEAUTY_CENTER,RIVER,SMART_APARTMENT,SMART_CONDOMINIUM,FENCE,REDARIO,LAND,HOT_TUB,MARINA,DRYWALL,BURNT_CEMENT,POMAR,ORCHID_PLACE,MEZZANINE,ECO_GARBAGE_COLLECTOR,STORES,GOLF_FIELD,VEGETABLE_GARDEN,LAKE,ELETRIC_CHARGER,AQUARIUM,PASTURE,REFLECTING_POOL,RAISED_FLOOR,EDICULE,DOG_KENNEL,HEADQUARTERS,BACKGROUND_HOUSE,ECO_CONDOMINIUM,VALET_PARKING,YOUTH_GAME_ROOM,DRESS_ROOM,SOLAR_ENERGY
APARTMENT,Zona Norte,Riachuelo,Rua Vinte e Quatro de Maio,400000,739,701,57,57,1,1,3,2,12,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Norte,Grajaú,Rua Rosa e Silva,399000,1000,1,120,120,1,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Sul,Ipanema,Rua Prudente de Morais,6300000,23527,3989,350,350,3,4,6,5,9,True,,True,True,,,,,,,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Oeste,Jacarepaguá,Rua Franz Weissman,3014842,0,0,249,249,3,3,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Sul,Flamengo,Rua Senador Vergueiro,1600000,750,1980,120,130,2,1,4,3,17,,,,True,True,True,,True,True,True,,True,,True,True,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Sul,Copacabana,Rua Santa Clara,850000,2370,1400,79,79,2,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Sul,Copacabana,Rua Domingos Ferreira,1649000,6429,2650,130,135,1,1,3,4,13,,,,True,True,True,True,True,True,,,,True,True,,,,,True,,,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Sul,Copacabana,Rua Raimundo Correia,1650000,580,2200,160,160,1,1,3,3,7,,,,,True,,,,,,,,,,,,,,True,True,,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENTHOUSE,Zona Sul,Copacabana,Avenida Atlântica,14000000,1479,0,239,239,1,3,5,3,5,True,,,,True,,,,,True,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT,Zona Norte,Tijuca,Rua Maria Amália,1325000,0,1700,150,150,2,1,3,3,10,,True,,True,True,True,,,,True,,,,True,,,,,True,,,,,,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
