FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BATHROOMS,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,ZONE,NEIGHBORHOOD,STREET,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,TOTAL_AMENITIES,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_ACCESS_ROADS,NEAR_SCHOOL,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,NEAR_PUBLIC_TRANSPORT,COVERAGE,YEARLY_EXPENSES
True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,2,94,Zona Norte,Riachuelo,Rua Vinte e Quatro de Maio,400000,57,57,1,1,2,12,False,False,False,False,False,False,False,False,False,False,False,9151
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,44,Zona Norte,Grajaú,Rua Rosa e Silva,399000,120,120,1,0,2,0,False,False,False,False,False,False,False,False,False,False,False,1012
False,True,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,4,53,Zona Sul,Ipanema,Rua Prudente de Morais,6300000,350,350,3,4,5,9,False,False,False,False,False,False,False,False,False,False,False,71395
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,56,Zona Oeste,Jacarepaguá,Rua Franz Weissman,3014842,249,249,3,3,4,0,False,False,False,False,False,False,False,False,False,False,False,0
True,True,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,True,True,False,False,4,39,Zona Sul,Flamengo,Rua Senador Vergueiro,1600000,120,130,2,1,3,17,True,False,False,False,False,False,False,False,False,False,False,24510
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Santa Clara,850000,79,79,2,1,2,0,False,False,False,False,False,False,False,False,False,False,False,19170
True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,4,28,Zona Sul,Copacabana,Rua Domingos Ferreira,1649000,130,135,1,1,4,13,True,True,False,False,False,False,False,False,False,False,False,38229
False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,4,28,Zona Sul,Copacabana,Rua Raimundo Correia,1650000,160,160,1,1,3,7,True,False,False,False,False,False,False,False,False,False,False,26980
False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,4,28,Zona Sul,Copacabana,Avenida Atlântica,14000000,239,239,1,3,3,5,True,False,False,False,False,False,False,False,False,False,False,1479
True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,2,112,Zona Norte,Tijuca,Rua Maria Amália,1325000,150,150,2,1,3,10,True,True,False,False,False,False,False,False,False,False,False,20400
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Djalma Ulrich,520000,42,42,0,0,1,5,True,False,False,False,False,False,False,False,False,False,False,10800
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Estrada Benvindo de Novaes,990000,126,126,2,1,3,1,False,False,False,False,False,False,False,False,False,False,False,17900
True,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,4,28,Zona Sul,Copacabana,Rua Bulhões de Carvalho,1350000,150,150,1,1,4,11,True,False,False,False,False,False,False,False,False,False,False,22600
True,True,True,False,True,False,True,True,True,False,True,True,False,True,False,False,True,True,True,True,False,True,3,8,Zona Oeste,Barra Olímpica,Avenida Embaixador Abelardo Bueno,700000,70,70,1,1,2,20,True,False,True,False,False,False,False,False,False,False,False,14670
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,28,Zona Sul,Copacabana,Rua Barata Ribeiro,1104000,135,135,1,1,3,5,True,True,False,False,False,False,False,False,False,False,False,24540
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,39,Zona Sul,Flamengo,Avenida Rui Barbosa,4000000,270,300,1,1,4,3,True,False,False,False,False,False,False,False,False,False,False,24150
False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,4,64,Zona Sul,Leblon,Rua José Linhares,6500000,198,198,3,2,3,8,True,True,False,False,False,False,False,False,False,False,False,62400
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Avenida das Américas,990000,205,205,2,2,4,0,False,False,False,False,False,False,False,False,False,False,False,13450
True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,4,50,Zona Sul,Humaitá,Rua Engenheiro Marques Porto,925000,72,72,1,1,2,7,True,False,False,False,False,False,False,False,False,False,False,11482
False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,4,57,Zona Sul,Jardim Botânico,Rua Faro,990000,74,74,1,1,2,18,True,True,False,False,False,False,False,False,False,False,False,17047
False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Gilberto Amado,2299000,204,204,3,2,4,6,True,False,False,False,False,False,False,False,False,False,False,25079
True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,4,28,Zona Sul,Copacabana,Avenida Atlântica,8000000,420,436,2,2,4,13,False,False,False,False,False,False,False,False,False,False,False,42000
False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,3,19,Zona Oeste,Campo Grande,Rua Olinda Ellis,924000,166,166,2,1,3,18,True,True,False,False,False,False,False,False,False,False,False,20100
False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,4,64,Zona Sul,Leblon,Rua Cupertino Durão,5000000,170,170,2,0,3,9,False,True,False,False,False,False,False,False,False,False,False,60750
True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2,35,Zona Norte,Engenho Novo,Rua Frei Fabiano,184000,60,60,0,0,2,3,False,False,False,False,False,False,False,False,False,False,False,6862
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,93,Zona Oeste,Recreio dos Bandeirantes,Rua Luiz Paulistano,758900,114,114,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,12131
True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,3,5,Zona Oeste,Anil,Avenida Tenente-Coronel Muniz de Aragão,250000,48,48,1,0,2,25,True,False,False,False,False,False,False,False,False,False,False,9384
True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,3,9,Zona Oeste,Barra da Tijuca,Avenida das Américas,4300000,233,233,3,4,4,23,True,False,False,False,False,False,False,False,False,False,False,48500
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,9,Zona Oeste,Barra da Tijuca,Avenida Érico Veríssimo,1750000,163,163,3,1,3,0,False,False,False,False,False,False,False,False,False,False,False,25919
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,53,Zona Sul,Ipanema,Rua Alberto de Campos,798000,41,41,1,0,1,2,False,False,False,False,False,False,False,False,False,False,False,9729
False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2,44,Zona Norte,Grajaú,Rua Nossa Senhora de Lourdes,439999,75,75,2,1,2,7,True,True,False,False,False,False,False,False,False,False,False,13299
