FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,COVERAGE,YEARLY_EXPENSES,ZONE,NEIGHBORHOOD,STREET,PRICE_BIN,STREET_RELEVANCE
1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,94,400000,57,57,1,1,2,0,0,0,0,0,0,0,0,9151,Zona Norte,Riachuelo,Rua Vinte e Quatro de Maio,Bin_1,0.06072318007376945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,399000,120,120,1,0,2,0,0,0,0,0,0,0,0,1012,Zona Norte,Grajaú,Rua Rosa e Silva,Bin_1,0.09599962253691408
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,3014842,249,249,3,3,4,0,0,0,0,0,0,0,0,0,Zona Oeste,Jacarepaguá,Rua Franz Weissman,Bin_1,0.2970099374992165
1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,4,39,1600000,120,130,2,1,3,1,0,0,0,0,0,0,0,24510,Zona Sul,Flamengo,Rua Senador Vergueiro,Bin_1,0.2240047988718432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,850000,79,79,2,1,2,0,0,0,0,0,0,0,0,19170,Zona Sul,Copacabana,Rua Santa Clara,Bin_1,0.19157849068462507
1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,4,28,1649000,130,135,1,1,4,1,1,0,0,0,0,0,0,38229,Zona Sul,Copacabana,Rua Domingos Ferreira,Bin_1,0.29327202831390997
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,4,28,1650000,160,160,1,1,3,1,0,0,0,0,0,0,0,26980,Zona Sul,Copacabana,Rua Raimundo Correia,Bin_1,0.30454205788417316
1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,112,1325000,150,150,2,1,3,1,1,0,0,0,0,0,0,20400,Zona Norte,Tijuca,Rua Maria Amália,Bin_1,0.1818121153114906
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,28,520000,42,42,0,0,1,1,0,0,0,0,0,0,0,10800,Zona Sul,Copacabana,Rua Djalma Ulrich,Bin_1,0.08862837900265247
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,93,990000,126,126,2,1,3,0,0,0,0,0,0,0,0,17900,Zona Oeste,Recreio dos Bandeirantes,Estrada Benvindo de Novaes,Bin_1,0.17182489125302422
1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,4,28,1350000,150,150,1,1,4,1,0,0,0,0,0,0,0,22600,Zona Sul,Copacabana,Rua Bulhões de Carvalho,Bin_1,0.37043542515933736
